Time - Voltage - Voltage,Amplitude - Voltage - Voltage,,,0,N
0.352,-89.38m,,,,
0.353,-89.38m,,,,
0.354,-79.03m,,,,
0.355,-82.48m,,,,
0.356,-85.93m,,,,
0.357,-89.38m,,,,
0.358,-79.03m,,,,
0.359,-79.03m,,,,
0.36,-79.03m,,,,
0.361,-82.48m,,,,
0.362,-82.48m,,,,
0.363,-82.48m,,,,
0.364,-82.48m,,,,
0.365,-82.48m,,,,
0.366,-79.03m,,,,
0.367,-82.48m,,,,
0.368,-85.93m,,,,
0.369,-89.38m,,,,
0.37,-82.48m,,,,
0.371,-85.93m,,,,
0.372,-85.93m,,,,
0.373,-82.48m,,,,
0.374,-85.93m,,,,
0.375,-89.38m,,,,
0.376,-85.93m,,,,
0.377,-75.57m,,,,
0.378,-89.38m,,,,
0.379,-89.38m,,,,
0.38,-85.93m,,,,
0.381,-92.83m,,,,
0.382,-79.03m,,,,
0.383,-72.12m,,,,
0.384,-79.03m,,,,
0.385,-82.48m,,,,
0.386,-82.48m,,,,
0.387,-82.48m,,,,
0.388,-82.48m,,,,
0.389,-68.67m,,,,
0.39,-79.03m,,,,
0.391,-82.48m,,,,
0.392,-82.48m,,,,
0.393,-82.48m,,,,
0.394,-82.48m,,,,
0.395,-79.03m,,,,
0.396,-89.38m,,,,
0.397,-92.83m,,,,
0.398,-82.48m,,,,
0.399,-79.03m,,,,
0.4,-96.28m,,,,
0.401,-82.48m,,,,
0.402,-75.57m,,,,
0.403,-75.57m,,,,
0.404,-85.93m,,,,
0.405,-75.57m,,,,
0.406,-79.03m,,,,
0.407,-75.57m,,,,
0.408,-85.93m,,,,
0.409,-75.57m,,,,
0.41,-92.83m,,,,
0.411,-89.38m,,,,
0.412,-75.57m,,,,
0.413,-79.03m,,,,
0.414,-75.57m,,,,
0.415,-89.38m,,,,
0.416,-79.03m,,,,
0.417,-82.48m,,,,
0.418,-75.57m,,,,
0.419,-75.57m,,,,
0.42,-85.93m,,,,
0.421,-85.93m,,,,
0.422,-89.38m,,,,
0.423,-82.48m,,,,
0.424,-79.03m,,,,
0.425,-82.48m,,,,
0.426,-85.93m,,,,
0.427,-79.03m,,,,
0.428,-79.03m,,,,
0.429,-82.48m,,,,
0.43,-82.48m,,,,
0.431,-85.93m,,,,
0.432,-85.93m,,,,
0.433,-85.93m,,,,
0.434,-82.48m,,,,
0.435,-92.83m,,,,
0.436,-85.93m,,,,
0.437,-85.93m,,,,
0.438,-89.38m,,,,
0.439,-75.57m,,,,
0.44,-92.83m,,,,
0.441,-89.38m,,,,
0.442,-75.57m,,,,
0.443,-92.83m,,,,
0.444,-85.93m,,,,
0.445,-89.38m,,,,
0.446,-82.48m,,,,
0.447,-85.93m,,,,
0.448,-89.38m,,,,
0.449,-85.93m,,,,
0.45,-82.48m,,,,
0.451,-75.57m,,,,
0.452,-72.12m,,,,
0.453,-79.03m,,,,
0.454,-79.03m,,,,
0.455,-72.12m,,,,
0.456,-85.93m,,,,
0.457,-82.48m,,,,
0.458,-79.03m,,,,
0.459,-75.57m,,,,
0.46,-85.93m,,,,
0.461,-72.12m,,,,
0.462,-82.48m,,,,
0.463,-82.48m,,,,
0.464,-75.57m,,,,
0.465,-82.48m,,,,
0.466,-85.93m,,,,
0.467,-82.48m,,,,
0.468,-85.93m,,,,
0.469,-75.57m,,,,
0.47,-79.03m,,,,
0.471,-79.03m,,,,
0.472,-82.48m,,,,
0.473,-72.12m,,,,
0.474,-85.93m,,,,
0.475,-85.93m,,,,
0.476,-82.48m,,,,
0.477,-85.93m,,,,
0.478,-79.03m,,,,
0.479,-82.48m,,,,
0.48,-82.48m,,,,
0.481,-89.38m,,,,
0.482,-85.93m,,,,
0.483,-82.48m,,,,
0.484,-85.93m,,,,
0.485,-79.03m,,,,
0.486,-82.48m,,,,
0.487,-89.38m,,,,
0.488,-79.03m,,,,
0.489,-85.93m,,,,
0.49,-89.38m,,,,
0.491,-82.48m,,,,
0.492,-79.03m,,,,
0.493,-79.03m,,,,
0.494,-75.57m,,,,
0.495,-82.48m,,,,
0.496,-85.93m,,,,
0.497,-82.48m,,,,
0.498,-85.93m,,,,
0.499,-82.48m,,,,
0.5,-79.03m,,,,
0.501,-82.48m,,,,
0.502,-79.03m,,,,
0.503,-89.38m,,,,
0.504,-82.48m,,,,
0.505,-85.93m,,,,
0.506,-89.38m,,,,
0.507,-75.57m,,,,
0.508,-92.83m,,,,
0.509,-96.28m,,,,
0.51,-82.48m,,,,
0.511,-85.93m,,,,
0.512,-79.03m,,,,
0.513,-75.57m,,,,
0.514,-82.48m,,,,
0.515,-85.93m,,,,
0.516,-82.48m,,,,
0.517,-89.38m,,,,
0.518,-79.03m,,,,
0.519,-82.48m,,,,
0.52,-89.38m,,,,
0.521,-79.03m,,,,
0.522,-82.48m,,,,
0.523,-75.57m,,,,
0.524,-79.03m,,,,
0.525,-79.03m,,,,
0.526,-99.74m,,,,
0.527,-79.03m,,,,
0.528,-92.83m,,,,
0.529,-79.03m,,,,
0.53,-89.38m,,,,
0.531,-79.03m,,,,
0.532,-82.48m,,,,
0.533,-79.03m,,,,
0.534,-79.03m,,,,
0.535,-82.48m,,,,
0.536,-85.93m,,,,
0.537,-75.57m,,,,
0.538,-72.12m,,,,
0.539,-82.48m,,,,
0.54,-99.74m,,,,
0.541,-75.57m,,,,
0.542,-79.03m,,,,
0.543,-89.38m,,,,
0.544,-85.93m,,,,
0.545,-82.48m,,,,
0.546,-85.93m,,,,
0.547,-79.03m,,,,
0.548,-85.93m,,,,
0.549,-82.48m,,,,
0.55,-82.48m,,,,
0.551,-79.03m,,,,
0.552,-82.48m,,,,
0.553,-75.57m,,,,
0.554,-82.48m,,,,
0.555,-85.93m,,,,
0.556,-82.48m,,,,
0.557,-85.93m,,,,
0.558,-85.93m,,,,
0.559,-75.57m,,,,
0.56,-85.93m,,,,
0.561,-75.57m,,,,
0.562,-75.57m,,,,
0.563,-82.48m,,,,
0.564,-82.48m,,,,
0.565,-92.83m,,,,
0.566,-82.48m,,,,
0.567,-82.48m,,,,
0.568,-85.93m,,,,
0.569,-89.38m,,,,
0.57,-82.48m,,,,
0.571,-92.83m,,,,
0.572,-75.57m,,,,
0.573,-92.83m,,,,
0.574,-89.38m,,,,
0.575,-89.38m,,,,
0.576,-89.38m,,,,
0.577,-72.12m,,,,
0.578,-82.48m,,,,
0.579,-85.93m,,,,
0.58,-79.03m,,,,
0.581,-75.57m,,,,
0.582,-79.03m,,,,
0.583,-82.48m,,,,
0.584,-82.48m,,,,
0.585,-82.48m,,,,
0.586,-82.48m,,,,
0.587,-89.38m,,,,
0.588,-85.93m,,,,
0.589,-85.93m,,,,
0.59,-82.48m,,,,
0.591,-82.48m,,,,
0.592,-82.48m,,,,
0.593,-79.03m,,,,
0.594,-85.93m,,,,
0.595,-85.93m,,,,
0.596,-82.48m,,,,
0.597,-92.83m,,,,
0.598,-85.93m,,,,
0.599,-82.48m,,,,
0.6,-85.93m,,,,
0.601,-85.93m,,,,
0.602,-85.93m,,,,
0.603,-82.48m,,,,
0.604,-85.93m,,,,
0.605,-85.93m,,,,
0.606,-79.03m,,,,
0.607,-82.48m,,,,
0.608,-79.03m,,,,
0.609,-89.38m,,,,
0.61,-85.93m,,,,
0.611,-75.57m,,,,
0.612,-82.48m,,,,
0.613,-92.83m,,,,
0.614,-89.38m,,,,
0.615,-85.93m,,,,
0.616,-79.03m,,,,
0.617,-79.03m,,,,
0.618,-82.48m,,,,
0.619,-82.48m,,,,
0.62,-82.48m,,,,
0.621,-82.48m,,,,
0.622,-79.03m,,,,
0.623,-89.38m,,,,
0.624,-85.93m,,,,
0.625,-82.48m,,,,
0.626,-82.48m,,,,
0.627,-82.48m,,,,
0.628,-75.57m,,,,
0.629,-82.48m,,,,
0.63,-85.93m,,,,
0.631,-79.03m,,,,
0.632,-82.48m,,,,
0.633,-92.83m,,,,
0.634,-75.57m,,,,
0.635,-85.93m,,,,
0.636,-82.48m,,,,
0.637,-82.48m,,,,
0.638,-89.38m,,,,
0.639,-85.93m,,,,
0.64,-89.38m,,,,
0.641,-82.48m,,,,
0.642,-85.93m,,,,
0.643,-79.03m,,,,
0.644,-82.48m,,,,
0.645,-85.93m,,,,
0.646,-82.48m,,,,
0.647,-79.03m,,,,
0.648,-82.48m,,,,
0.649,-79.03m,,,,
0.65,-79.03m,,,,
0.651,-75.57m,,,,
0.652,-85.93m,,,,
0.653,-85.93m,,,,
0.654,-85.93m,,,,
0.655,-75.57m,,,,
0.656,-92.83m,,,,
0.657,-82.48m,,,,
0.658,-85.93m,,,,
0.659,-79.03m,,,,
0.66,-85.93m,,,,
0.661,-82.48m,,,,
0.662,-82.48m,,,,
0.663,-75.57m,,,,
0.664,-89.38m,,,,
0.665,-79.03m,,,,
0.666,-82.48m,,,,
0.667,-85.93m,,,,
0.668,-85.93m,,,,
0.669,-79.03m,,,,
0.67,-75.57m,,,,
0.671,-82.48m,,,,
0.672,-75.57m,,,,
0.673,-82.48m,,,,
0.674,-79.03m,,,,
0.675,-89.38m,,,,
0.676,-75.57m,,,,
0.677,-89.38m,,,,
0.678,-85.93m,,,,
0.679,-75.57m,,,,
0.68,-82.48m,,,,
0.681,-92.83m,,,,
0.682,-79.03m,,,,
0.683,-85.93m,,,,
0.684,-75.57m,,,,
0.685,-96.28m,,,,
0.686,-72.12m,,,,
0.687,-75.57m,,,,
0.688,-82.48m,,,,
0.689,-85.93m,,,,
0.69,-72.12m,,,,
0.691,-89.38m,,,,
0.692,-79.03m,,,,
0.693,-79.03m,,,,
0.694,-82.48m,,,,
0.695,-96.28m,,,,
0.696,-82.48m,,,,
0.697,-85.93m,,,,
0.698,-82.48m,,,,
0.699,-89.38m,,,,
0.7,-85.93m,,,,
0.701,-79.03m,,,,
0.702,-82.48m,,,,
0.703,-85.93m,,,,
0.704,-82.48m,,,,
0.705,-85.93m,,,,
0.706,-85.93m,,,,
0.707,-82.48m,,,,
0.708,-82.48m,,,,
0.709,-79.03m,,,,
0.71,-89.38m,,,,
0.711,-82.48m,,,,
0.712,-79.03m,,,,
0.713,-79.03m,,,,
0.714,-79.03m,,,,
0.715,-85.93m,,,,
0.716,-89.38m,,,,
0.717,-89.38m,,,,
0.718,-82.48m,,,,
0.719,-82.48m,,,,
0.72,-89.38m,,,,
0.721,-89.38m,,,,
0.722,-75.57m,,,,
0.723,-79.03m,,,,
0.724,-85.93m,,,,
0.725,-72.12m,,,,
0.726,-89.38m,,,,
0.727,-82.48m,,,,
0.728,-72.12m,,,,
0.729,-72.12m,,,,
0.73,-82.48m,,,,
0.731,-85.93m,,,,
0.732,-89.38m,,,,
0.733,-75.57m,,,,
0.734,-79.03m,,,,
0.735,-89.38m,,,,
0.736,-85.93m,,,,
0.737,-82.48m,,,,
0.738,-79.03m,,,,
0.739,-82.48m,,,,
0.74,-85.93m,,,,
0.741,-82.48m,,,,
0.742,-72.12m,,,,
0.743,-85.93m,,,,
0.744,-75.57m,,,,
0.745,-85.93m,,,,
0.746,-75.57m,,,,
0.747,-72.12m,,,,
0.748,-75.57m,,,,
0.749,-85.93m,,,,
0.75,-82.48m,,,,
0.751,-79.03m,,,,
0.752,-75.57m,,,,
0.753,-89.38m,,,,
0.754,-82.48m,,,,
0.755,-85.93m,,,,
0.756,-85.93m,,,,
0.757,-85.93m,,,,
0.758,-85.93m,,,,
0.759,-82.48m,,,,
0.76,-89.38m,,,,
0.761,-82.48m,,,,
0.762,-85.93m,,,,
0.763,-85.93m,,,,
0.764,-79.03m,,,,
0.765,-85.93m,,,,
0.766,-92.83m,,,,
0.767,-79.03m,,,,
0.768,-79.03m,,,,
0.769,-82.48m,,,,
0.77,-89.38m,,,,
0.771,-85.93m,,,,
0.772,-89.38m,,,,
0.773,-82.48m,,,,
0.774,-85.93m,,,,
0.775,-79.03m,,,,
0.776,-75.57m,,,,
0.777,-79.03m,,,,
0.778,-79.03m,,,,
0.779,-89.38m,,,,
0.78,-85.93m,,,,
0.781,-85.93m,,,,
0.782,-82.48m,,,,
0.783,-85.93m,,,,
0.784,-82.48m,,,,
0.785,-85.93m,,,,
0.786,-85.93m,,,,
0.787,-85.93m,,,,
0.788,-89.38m,,,,
0.789,-79.03m,,,,
0.79,-79.03m,,,,
0.791,-82.48m,,,,
0.792,-79.03m,,,,
0.793,-82.48m,,,,
0.794,-79.03m,,,,
0.795,-85.93m,,,,
0.796,-89.38m,,,,
0.797,-79.03m,,,,
0.798,-85.93m,,,,
0.799,-79.03m,,,,
0.8,-85.93m,,,,
0.801,-85.93m,,,,
0.802,-79.03m,,,,
0.803,-82.48m,,,,
0.804,-79.03m,,,,
0.805,-85.93m,,,,
0.806,-82.48m,,,,
0.807,-75.57m,,,,
0.808,-72.12m,,,,
0.809,-75.57m,,,,
0.81,-79.03m,,,,
0.811,-92.83m,,,,
0.812,-85.93m,,,,
0.813,-85.93m,,,,
0.814,-82.48m,,,,
0.815,-89.38m,,,,
0.816,-82.48m,,,,
0.817,-82.48m,,,,
0.818,-82.48m,,,,
0.819,-82.48m,,,,
0.82,-89.38m,,,,
0.821,-82.48m,,,,
0.822,-85.93m,,,,
0.823,-72.12m,,,,
0.824,-72.12m,,,,
0.825,-89.38m,,,,
0.826,-89.38m,,,,
0.827,-82.48m,,,,
0.828,-75.57m,,,,
0.829,-82.48m,,,,
0.83,-89.38m,,,,
0.831,-89.38m,,,,
0.832,-79.03m,,,,
0.833,-79.03m,,,,
0.834,-82.48m,,,,
0.835,-89.38m,,,,
0.836,-72.12m,,,,
0.837,-82.48m,,,,
0.838,-75.57m,,,,
0.839,-96.28m,,,,
0.84,-89.38m,,,,
0.841,-79.03m,,,,
0.842,-79.03m,,,,
0.843,-85.93m,,,,
0.844,-79.03m,,,,
0.845,-82.48m,,,,
0.846,-75.57m,,,,
0.847,-85.93m,,,,
0.848,-79.03m,,,,
0.849,-92.83m,,,,
0.85,-75.57m,,,,
0.851,-82.48m,,,,
0.852,-82.48m,,,,
0.853,-89.38m,,,,
0.854,-82.48m,,,,
0.855,-79.03m,,,,
0.856,-82.48m,,,,
0.857,-79.03m,,,,
0.858,-82.48m,,,,
0.859,-82.48m,,,,
0.86,-89.38m,,,,
0.861,-82.48m,,,,
0.862,-82.48m,,,,
0.863,-92.83m,,,,
0.864,-68.67m,,,,
0.865,-79.03m,,,,
0.866,-82.48m,,,,
0.867,-79.03m,,,,
0.868,-82.48m,,,,
0.869,-82.48m,,,,
0.87,-68.67m,,,,
0.871,-82.48m,,,,
0.872,-82.48m,,,,
0.873,-89.38m,,,,
0.874,-75.57m,,,,
0.875,-85.93m,,,,
0.876,-79.03m,,,,
0.877,-85.93m,,,,
0.878,-79.03m,,,,
0.879,-89.38m,,,,
0.88,-72.12m,,,,
0.881,-82.48m,,,,
0.882,-85.93m,,,,
0.883,-75.57m,,,,
0.884,-85.93m,,,,
0.885,-82.48m,,,,
0.886,-89.38m,,,,
0.887,-82.48m,,,,
0.888,-85.93m,,,,
0.889,-85.93m,,,,
0.89,-75.57m,,,,
0.891,-79.03m,,,,
0.892,-82.48m,,,,
0.893,-85.93m,,,,
0.894,-85.93m,,,,
0.895,-75.57m,,,,
0.896,-79.03m,,,,
0.897,-82.48m,,,,
0.898,-82.48m,,,,
0.899,-89.38m,,,,
0.9,-79.03m,,,,
0.901,-82.48m,,,,
0.902,-79.03m,,,,
0.903,-89.38m,,,,
0.904,-79.03m,,,,
0.905,-79.03m,,,,
0.906,-75.57m,,,,
0.907,-85.93m,,,,
0.908,-92.83m,,,,
0.909,-82.48m,,,,
0.91,-85.93m,,,,
0.911,-75.57m,,,,
0.912,-79.03m,,,,
0.913,-85.93m,,,,
0.914,-89.38m,,,,
0.915,-85.93m,,,,
0.916,-89.38m,,,,
0.917,-85.93m,,,,
0.918,-89.38m,,,,
0.919,-92.83m,,,,
0.92,-82.48m,,,,
0.921,-82.48m,,,,
0.922,-89.38m,,,,
0.923,-92.83m,,,,
0.924,-85.93m,,,,
0.925,-79.03m,,,,
0.926,-72.12m,,,,
0.927,-89.38m,,,,
0.928,-79.03m,,,,
0.929,-79.03m,,,,
0.93,-85.93m,,,,
0.931,-79.03m,,,,
0.932,-82.48m,,,,
0.933,-89.38m,,,,
0.934,-79.03m,,,,
0.935,-79.03m,,,,
0.936,-72.12m,,,,
0.937,-82.48m,,,,
0.938,-85.93m,,,,
0.939,-85.93m,,,,
0.94,-85.93m,,,,
0.941,-79.03m,,,,
0.942,-82.48m,,,,
0.943,-75.57m,,,,
0.944,-85.93m,,,,
0.945,-79.03m,,,,
0.946,-79.03m,,,,
0.947,-79.03m,,,,
0.948,-82.48m,,,,
0.949,-72.12m,,,,
0.95,-82.48m,,,,
0.951,-79.03m,,,,
0.952,-75.57m,,,,
0.953,-79.03m,,,,
0.954,-82.48m,,,,
0.955,-85.93m,,,,
0.956,-72.12m,,,,
0.957,-89.38m,,,,
0.958,-82.48m,,,,
0.959,-85.93m,,,,
0.96,-79.03m,,,,
0.961,-82.48m,,,,
0.962,-85.93m,,,,
0.963,-85.93m,,,,
0.964,-82.48m,,,,
0.965,-92.83m,,,,
0.966,-85.93m,,,,
0.967,-79.03m,,,,
0.968,-85.93m,,,,
0.969,-85.93m,,,,
0.97,-82.48m,,,,
0.971,-82.48m,,,,
0.972,-89.38m,,,,
0.973,-79.03m,,,,
0.974,-79.03m,,,,
0.975,-89.38m,,,,
0.976,-79.03m,,,,
0.977,-79.03m,,,,
0.978,-79.03m,,,,
0.979,-92.83m,,,,
0.98,-79.03m,,,,
0.981,-72.12m,,,,
0.982,-85.93m,,,,
0.983,-79.03m,,,,
0.984,-79.03m,,,,
0.985,-82.48m,,,,
0.986,-82.48m,,,,
0.987,-79.03m,,,,
0.988,-72.12m,,,,
0.989,-79.03m,,,,
0.99,-82.48m,,,,
0.991,-92.83m,,,,
