Time - Voltage - Voltage,Amplitude - Voltage - Voltage,,,1600N
0.891,680.3m,,,
0.892,683.8m,,,
0.893,687.2m,,,
0.894,680.3m,,,
0.895,687.2m,,,
0.896,680.3m,,,
0.897,683.8m,,,
0.898,670m,,,
0.899,683.8m,,,
0.9,687.2m,,,
0.901,676.9m,,,
0.902,676.9m,,,
0.903,676.9m,,,
0.904,670m,,,
0.905,680.3m,,,
0.906,673.4m,,,
0.907,680.3m,,,
0.908,676.9m,,,
0.909,680.3m,,,
0.91,680.3m,,,
0.911,673.4m,,,
0.912,680.3m,,,
0.913,687.2m,,,
0.914,676.9m,,,
0.915,676.9m,,,
0.916,676.9m,,,
0.917,666.5m,,,
0.918,676.9m,,,
0.919,683.8m,,,
0.92,680.3m,,,
0.921,680.3m,,,
0.922,680.3m,,,
0.923,687.2m,,,
0.924,680.3m,,,
0.925,680.3m,,,
0.926,676.9m,,,
0.927,680.3m,,,
0.928,683.8m,,,
0.929,683.8m,,,
0.93,680.3m,,,
0.931,680.3m,,,
0.932,683.8m,,,
0.933,673.4m,,,
0.934,676.9m,,,
0.935,683.8m,,,
0.936,676.9m,,,
0.937,687.2m,,,
0.938,676.9m,,,
0.939,676.9m,,,
0.94,687.2m,,,
0.941,676.9m,,,
0.942,683.8m,,,
0.943,676.9m,,,
0.944,687.2m,,,
0.945,676.9m,,,
0.946,670m,,,
0.947,673.4m,,,
0.948,683.8m,,,
0.949,683.8m,,,
0.95,687.2m,,,
0.951,690.7m,,,
0.952,683.8m,,,
0.953,676.9m,,,
0.954,690.7m,,,
0.955,687.2m,,,
0.956,683.8m,,,
0.957,687.2m,,,
0.958,683.8m,,,
0.959,683.8m,,,
0.96,683.8m,,,
0.961,687.2m,,,
0.962,673.4m,,,
0.963,680.3m,,,
0.964,680.3m,,,
0.965,680.3m,,,
0.966,676.9m,,,
0.967,687.2m,,,
0.968,683.8m,,,
0.969,680.3m,,,
0.97,683.8m,,,
0.971,676.9m,,,
0.972,676.9m,,,
0.973,683.8m,,,
0.974,680.3m,,,
0.975,676.9m,,,
0.976,673.4m,,,
0.977,673.4m,,,
0.978,680.3m,,,
0.979,683.8m,,,
0.98,680.3m,,,
0.981,687.2m,,,
0.982,680.3m,,,
0.983,680.3m,,,
0.984,676.9m,,,
0.985,683.8m,,,
0.986,673.4m,,,
0.987,673.4m,,,
0.988,687.2m,,,
0.989,683.8m,,,
0.99,676.9m,,,
0.991,673.4m,,,
0.992,687.2m,,,
0.993,680.3m,,,
0.994,680.3m,,,
0.995,687.2m,,,
0.996,687.2m,,,
0.997,680.3m,,,
0.998,680.3m,,,
0.999,676.9m,,,
